taxon_name,firstapp_max_ma,lastapp_min_ma
Astrophocaudia slaughteri,112.03,109
Sibirotitan astrosacralis,125,113
Chubutisaurus insignis,122.46,109
Sauroposeidon proteles,125,93.5
Tastavinsaurus sanzi,125.45,122.46
Jiangshanosaurus lixianensis,100.5,89.8
Abdarainurus barsboldi,86.3,72.1
Angolatitan adamastor,89.8,86.3
Yunmenglong ruyangensis,125,100.5
Sonidosaurus saihangaobiensis,83.5,70.6
Gannansaurus sinensis,72.1,66
Dongbeititan dongi,129.4,125
Padillasaurus leivaensis,130,125.45
Triunfosaurus leonardii,145,130
Tangvayosaurus hoffeti,125,100.5
Ruyangosaurus giganteus,125,100.5
Qiaowanlong kangxii,125,113
Xianshanosaurus shijiagouensis,125,100.5
Silutitan sinensis,130,122.46
Daxiatitan binglingi,129.4,113
Tambatitanis amicitiae,112.03,109
Huabeisaurus allocotus,100.5,72.1
Yongjinglong datangi,129.4,113
Gobititan shenzhouensis,112.03,109
Phuwiangosaurus sirindhornae,130,125.45
Erketu ellisoni,100.5,83.6
Euhelopus zdanskyi,145,132.9
Ruixinia zhangi,129.4,113
Ligabuesaurus leanzai,112.03,109
Dzharatitanis kingi,93.5,89.3
Malarguesaurus florenciae,89.3,85.8
Ninjatitan zapatai,145,132.9
Barrosasaurus casamiquelai,93.5,70.6
Baalsaurus mansillai,93.5,85.8
Mongolosaurus haplodon,125,100.5
Sulaimanisaurus gingerichi,70.6,66
Pakisaurus balochistani,70.6,66
Khetranisaurus barkhani,70.6,66
Gspsaurus pakistani,70.6,66
Saraikimasoom vitakri,70.6,66
Argyrosaurus superbus,83.6,66
Hamititan xinjiangensis,130,122.46
Andesaurus delgadoi,99.6,93.5
Choconsaurus baileywillisi,99.6,93.5
Mnyamawamtuka moyowamkia,125,93.9
Rukwatitan bisepultus,100.5,72.1
Dongyangosaurus sinensis,100.5,89.8
Epachthosaurus sciuttoi,99.6,89.3
Jainosaurus septentrionalis,72.1,66
Paludititan nalatzensis,70.6,66
Shingopana songwensis,100.5,72.1
Vahiny depereti,72.1,66
Normanniasaurus genceyi,109,105.3
Magyarosaurus dacus,70.6,66
Tengrisaurus starkovi,130,113
Bonitasaura salgadoi,86.3,70.6
Patagotitan mayorum,113,100.5
Nemegtosaurus mongoliensis,72.1,66
Opisthocoelicaudia skarzynskii,72.1,66
Borealosaurus wimani,105.3,99.6
Nicksaurus razashahi,70.6,66
Yamanasaurus lojaensis,70.6,66
Bonatitan reigi,83.5,66
Saltasaurus loricatus,70.6,66
Neuquensaurus australis,89.3,66
Rocasaurus muniozi,83.5,66
Abditosaurus kuehnei,70.6,66
Alamosaurus sanjuanensis,83.5,66
Ibirania parva,85.8,70.6
